Inf;Sup;null
2005-07-03, 20:00:00,000;2005-07-03, 20:59:59,999;213.0
2005-07-03, 21:00:00,000;2005-07-03, 21:59:59,999;174.0
2005-07-03, 22:00:00,000;2005-07-03, 22:59:59,999;293.0
2005-07-03, 23:00:00,000;2005-07-03, 23:59:59,999;578.0
2005-07-04, 00:00:00,000;2005-07-04, 00:59:59,999;107.0
2005-07-04, 01:00:00,000;2005-07-04, 01:59:59,999;74.0
2005-07-04, 02:00:00,000;2005-07-04, 02:59:59,999;51.0
2005-07-04, 03:00:00,000;2005-07-04, 03:59:59,999;33.0
2005-07-04, 04:00:00,000;2005-07-04, 04:59:59,999;30.0
2005-07-04, 05:00:00,000;2005-07-04, 05:59:59,999;26.0
2005-07-04, 06:00:00,000;2005-07-04, 06:59:59,999;54.0
2005-07-04, 07:00:00,000;2005-07-04, 07:59:59,999;90.0
2005-07-04, 08:00:00,000;2005-07-04, 08:59:59,999;NaN
2005-07-04, 09:00:00,000;2005-07-04, 09:59:59,999;NaN
2005-07-04, 10:00:00,000;2005-07-04, 10:59:59,999;NaN
2005-07-04, 11:00:00,000;2005-07-04, 11:59:59,999;NaN
2005-07-04, 12:00:00,000;2005-07-04, 12:59:59,999;NaN
2005-07-04, 13:00:00,000;2005-07-04, 13:59:59,999;NaN
2005-07-04, 14:00:00,000;2005-07-04, 14:59:59,999;NaN
2005-07-04, 15:00:00,000;2005-07-04, 15:59:59,999;NaN
2005-07-04, 16:00:00,000;2005-07-04, 16:59:59,999;NaN
2005-07-04, 17:00:00,000;2005-07-04, 17:59:59,999;NaN
2005-07-04, 18:00:00,000;2005-07-04, 18:59:59,999;NaN
2005-07-04, 19:00:00,000;2005-07-04, 19:59:59,999;NaN
2005-07-04, 20:00:00,000;2005-07-04, 20:59:59,999;NaN
2005-07-04, 21:00:00,000;2005-07-04, 21:59:59,999;NaN
2005-07-04, 22:00:00,000;2005-07-04, 22:59:59,999;NaN
2005-07-04, 23:00:00,000;2005-07-04, 23:59:59,999;NaN
2005-07-05, 00:00:00,000;2005-07-05, 00:59:59,999;NaN
2005-07-05, 01:00:00,000;2005-07-05, 01:59:59,999;NaN
2005-07-05, 02:00:00,000;2005-07-05, 02:59:59,999;NaN
2005-07-05, 03:00:00,000;2005-07-05, 03:59:59,999;NaN
2005-07-05, 04:00:00,000;2005-07-05, 04:59:59,999;NaN
2005-07-05, 05:00:00,000;2005-07-05, 05:59:59,999;NaN
2005-07-05, 06:00:00,000;2005-07-05, 06:59:59,999;NaN
2005-07-05, 07:00:00,000;2005-07-05, 07:59:59,999;NaN
2005-07-05, 08:00:00,000;2005-07-05, 08:59:59,999;NaN
2005-07-05, 09:00:00,000;2005-07-05, 09:59:59,999;407.0
2005-07-05, 10:00:00,000;2005-07-05, 10:59:59,999;365.0
2005-07-05, 11:00:00,000;2005-07-05, 11:59:59,999;345.0
2005-07-05, 12:00:00,000;2005-07-05, 12:59:59,999;327.0
2005-07-05, 13:00:00,000;2005-07-05, 13:59:59,999;338.0
2005-07-05, 14:00:00,000;2005-07-05, 14:59:59,999;440.0
2005-07-05, 15:00:00,000;2005-07-05, 15:59:59,999;438.0
2005-07-05, 16:00:00,000;2005-07-05, 16:59:59,999;407.0
2005-07-05, 17:00:00,000;2005-07-05, 17:59:59,999;393.0
2005-07-05, 18:00:00,000;2005-07-05, 18:59:59,999;392.0
2005-07-05, 19:00:00,000;2005-07-05, 19:59:59,999;350.0
2005-07-05, 20:00:00,000;2005-07-05, 20:59:59,999;212.0
2005-07-05, 21:00:00,000;2005-07-05, 21:59:59,999;178.0
2005-07-05, 22:00:00,000;2005-07-05, 22:59:59,999;135.0
2005-07-05, 23:00:00,000;2005-07-05, 23:59:59,999;88.0
2005-07-06, 00:00:00,000;2005-07-06, 00:59:59,999;70.0
2005-07-06, 01:00:00,000;2005-07-06, 01:59:59,999;38.0
2005-07-06, 02:00:00,000;2005-07-06, 02:59:59,999;32.0
2005-07-06, 03:00:00,000;2005-07-06, 03:59:59,999;18.0
2005-07-06, 04:00:00,000;2005-07-06, 04:59:59,999;41.0
2005-07-06, 05:00:00,000;2005-07-06, 05:59:59,999;89.0
2005-07-06, 06:00:00,000;2005-07-06, 06:59:59,999;270.0
2005-07-06, 07:00:00,000;2005-07-06, 07:59:59,999;399.0
2005-07-06, 08:00:00,000;2005-07-06, 08:59:59,999;488.0
2005-07-06, 09:00:00,000;2005-07-06, 09:59:59,999;409.0
2005-07-06, 10:00:00,000;2005-07-06, 10:59:59,999;302.0
2005-07-06, 11:00:00,000;2005-07-06, 11:59:59,999;286.0
2005-07-06, 12:00:00,000;2005-07-06, 12:59:59,999;299.0
2005-07-06, 13:00:00,000;2005-07-06, 13:59:59,999;270.0
2005-07-06, 14:00:00,000;2005-07-06, 14:59:59,999;266.0
2005-07-06, 15:00:00,000;2005-07-06, 15:59:59,999;393.0
2005-07-06, 16:00:00,000;2005-07-06, 16:59:59,999;384.0
2005-07-06, 17:00:00,000;2005-07-06, 17:59:59,999;349.0
2005-07-06, 18:00:00,000;2005-07-06, 18:59:59,999;388.0
2005-07-06, 19:00:00,000;2005-07-06, 19:59:59,999;352.0
2005-07-06, 20:00:00,000;2005-07-06, 20:59:59,999;203.0
2005-07-06, 21:00:00,000;2005-07-06, 21:59:59,999;226.0
2005-07-06, 22:00:00,000;2005-07-06, 22:59:59,999;138.0
2005-07-06, 23:00:00,000;2005-07-06, 23:59:59,999;82.0
2005-07-07, 00:00:00,000;2005-07-07, 00:59:59,999;52.0
2005-07-07, 01:00:00,000;2005-07-07, 01:59:59,999;47.0
2005-07-07, 02:00:00,000;2005-07-07, 02:59:59,999;26.0
2005-07-07, 03:00:00,000;2005-07-07, 03:59:59,999;12.0
2005-07-07, 04:00:00,000;2005-07-07, 04:59:59,999;41.0
2005-07-07, 05:00:00,000;2005-07-07, 05:59:59,999;91.0
2005-07-07, 06:00:00,000;2005-07-07, 06:59:59,999;265.0
2005-07-07, 07:00:00,000;2005-07-07, 07:59:59,999;440.0
2005-07-07, 08:00:00,000;2005-07-07, 08:59:59,999;433.0
2005-07-07, 09:00:00,000;2005-07-07, 09:59:59,999;368.0
2005-07-07, 10:00:00,000;2005-07-07, 10:59:59,999;312.0
2005-07-07, 11:00:00,000;2005-07-07, 11:59:59,999;322.0
2005-07-07, 12:00:00,000;2005-07-07, 12:59:59,999;365.0
2005-07-07, 13:00:00,000;2005-07-07, 13:59:59,999;357.0
2005-07-07, 14:00:00,000;2005-07-07, 14:59:59,999;419.0
2005-07-07, 15:00:00,000;2005-07-07, 15:59:59,999;444.0
2005-07-07, 16:00:00,000;2005-07-07, 16:59:59,999;420.0
2005-07-07, 17:00:00,000;2005-07-07, 17:59:59,999;410.0
2005-07-07, 18:00:00,000;2005-07-07, 18:59:59,999;379.0
2005-07-07, 19:00:00,000;2005-07-07, 19:59:59,999;310.0
2005-07-07, 20:00:00,000;2005-07-07, 20:59:59,999;272.0
2005-07-07, 21:00:00,000;2005-07-07, 21:59:59,999;233.0
2005-07-07, 22:00:00,000;2005-07-07, 22:59:59,999;166.0
2005-07-07, 23:00:00,000;2005-07-07, 23:59:59,999;117.0
2005-07-08, 00:00:00,000;2005-07-08, 00:59:59,999;66.0
2005-07-08, 01:00:00,000;2005-07-08, 01:59:59,999;41.0
2005-07-08, 02:00:00,000;2005-07-08, 02:59:59,999;48.0
2005-07-08, 03:00:00,000;2005-07-08, 03:59:59,999;25.0
2005-07-08, 04:00:00,000;2005-07-08, 04:59:59,999;36.0
2005-07-08, 05:00:00,000;2005-07-08, 05:59:59,999;94.0
2005-07-08, 06:00:00,000;2005-07-08, 06:59:59,999;279.0
2005-07-08, 07:00:00,000;2005-07-08, 07:59:59,999;402.0
2005-07-08, 08:00:00,000;2005-07-08, 08:59:59,999;424.0
2005-07-08, 09:00:00,000;2005-07-08, 09:59:59,999;395.0
2005-07-08, 10:00:00,000;2005-07-08, 10:59:59,999;376.0
2005-07-08, 11:00:00,000;2005-07-08, 11:59:59,999;337.0
2005-07-08, 12:00:00,000;2005-07-08, 12:59:59,999;359.0
2005-07-08, 13:00:00,000;2005-07-08, 13:59:59,999;362.0
2005-07-08, 14:00:00,000;2005-07-08, 14:59:59,999;455.0
2005-07-08, 15:00:00,000;2005-07-08, 15:59:59,999;405.0
2005-07-08, 16:00:00,000;2005-07-08, 16:59:59,999;389.0
2005-07-08, 17:00:00,000;2005-07-08, 17:59:59,999;335.0
2005-07-08, 18:00:00,000;2005-07-08, 18:59:59,999;441.0
2005-07-08, 19:00:00,000;2005-07-08, 19:59:59,999;370.0
2005-07-08, 20:00:00,000;2005-07-08, 20:59:59,999;288.0
2005-07-08, 21:00:00,000;2005-07-08, 21:59:59,999;239.0
2005-07-08, 22:00:00,000;2005-07-08, 22:59:59,999;230.0
2005-07-08, 23:00:00,000;2005-07-08, 23:59:59,999;167.0
2005-07-09, 00:00:00,000;2005-07-09, 00:59:59,999;123.0
2005-07-09, 01:00:00,000;2005-07-09, 01:59:59,999;72.0
2005-07-09, 02:00:00,000;2005-07-09, 02:59:59,999;88.0
2005-07-09, 03:00:00,000;2005-07-09, 03:59:59,999;37.0
2005-07-09, 04:00:00,000;2005-07-09, 04:59:59,999;35.0
2005-07-09, 05:00:00,000;2005-07-09, 05:59:59,999;38.0
2005-07-09, 06:00:00,000;2005-07-09, 06:59:59,999;111.0
2005-07-09, 07:00:00,000;2005-07-09, 07:59:59,999;147.0
2005-07-09, 08:00:00,000;2005-07-09, 08:59:59,999;189.0
2005-07-09, 09:00:00,000;2005-07-09, 09:59:59,999;192.0
2005-07-09, 10:00:00,000;2005-07-09, 10:59:59,999;218.0
2005-07-09, 11:00:00,000;2005-07-09, 11:59:59,999;223.0
2005-07-09, 12:00:00,000;2005-07-09, 12:59:59,999;264.0
2005-07-09, 13:00:00,000;2005-07-09, 13:59:59,999;307.0
2005-07-09, 14:00:00,000;2005-07-09, 14:59:59,999;301.0
2005-07-09, 15:00:00,000;2005-07-09, 15:59:59,999;304.0
2005-07-09, 16:00:00,000;2005-07-09, 16:59:59,999;298.0
2005-07-09, 17:00:00,000;2005-07-09, 17:59:59,999;325.0
2005-07-09, 18:00:00,000;2005-07-09, 18:59:59,999;309.0
2005-07-09, 19:00:00,000;2005-07-09, 19:59:59,999;289.0
2005-07-09, 20:00:00,000;2005-07-09, 20:59:59,999;231.0
2005-07-09, 21:00:00,000;2005-07-09, 21:59:59,999;240.0
2005-07-09, 22:00:00,000;2005-07-09, 22:59:59,999;270.0
2005-07-09, 23:00:00,000;2005-07-09, 23:59:59,999;196.0
2005-07-10, 00:00:00,000;2005-07-10, 00:59:59,999;75.0
2005-07-10, 01:00:00,000;2005-07-10, 01:59:59,999;95.0
2005-07-10, 02:00:00,000;2005-07-10, 02:59:59,999;73.0
2005-07-10, 03:00:00,000;2005-07-10, 03:59:59,999;41.0
2005-07-10, 04:00:00,000;2005-07-10, 04:59:59,999;40.0
2005-07-10, 05:00:00,000;2005-07-10, 05:59:59,999;32.0
2005-07-10, 06:00:00,000;2005-07-10, 06:59:59,999;75.0
2005-07-10, 07:00:00,000;2005-07-10, 07:59:59,999;98.0
2005-07-10, 08:00:00,000;2005-07-10, 08:59:59,999;128.0
2005-07-10, 09:00:00,000;2005-07-10, 09:59:59,999;160.0
2005-07-10, 10:00:00,000;2005-07-10, 10:59:59,999;160.0
2005-07-10, 11:00:00,000;2005-07-10, 11:59:59,999;218.0
2005-07-10, 12:00:00,000;2005-07-10, 12:59:59,999;182.0
2005-07-10, 13:00:00,000;2005-07-10, 13:59:59,999;183.0
2005-07-10, 14:00:00,000;2005-07-10, 14:59:59,999;237.0
2005-07-10, 15:00:00,000;2005-07-10, 15:59:59,999;197.0
2005-07-10, 16:00:00,000;2005-07-10, 16:59:59,999;222.0
2005-07-10, 17:00:00,000;2005-07-10, 17:59:59,999;235.0
2005-07-10, 18:00:00,000;2005-07-10, 18:59:59,999;255.0
2005-07-10, 19:00:00,000;2005-07-10, 19:59:59,999;216.0
2005-07-10, 20:00:00,000;2005-07-10, 20:59:59,999;200.0
2005-07-10, 21:00:00,000;2005-07-10, 21:59:59,999;171.0
2005-07-10, 22:00:00,000;2005-07-10, 22:59:59,999;135.0
2005-07-10, 23:00:00,000;2005-07-10, 23:59:59,999;90.0
2005-07-11, 00:00:00,000;2005-07-11, 00:59:59,999;48.0
2005-07-11, 01:00:00,000;2005-07-11, 01:59:59,999;42.0
2005-07-11, 02:00:00,000;2005-07-11, 02:59:59,999;33.0
2005-07-11, 03:00:00,000;2005-07-11, 03:59:59,999;15.0
2005-07-11, 04:00:00,000;2005-07-11, 04:59:59,999;35.0
2005-07-11, 05:00:00,000;2005-07-11, 05:59:59,999;85.0
2005-07-11, 06:00:00,000;2005-07-11, 06:59:59,999;256.0
2005-07-11, 07:00:00,000;2005-07-11, 07:59:59,999;442.0
2005-07-11, 08:00:00,000;2005-07-11, 08:59:59,999;409.0
2005-07-11, 09:00:00,000;2005-07-11, 09:59:59,999;365.0
2005-07-11, 10:00:00,000;2005-07-11, 10:59:59,999;244.0
2005-07-11, 11:00:00,000;2005-07-11, 11:59:59,999;294.0
2005-07-11, 12:00:00,000;2005-07-11, 12:59:59,999;287.0
2005-07-11, 13:00:00,000;2005-07-11, 13:59:59,999;286.0
2005-07-11, 14:00:00,000;2005-07-11, 14:59:59,999;332.0
2005-07-11, 15:00:00,000;2005-07-11, 15:59:59,999;387.0
2005-07-11, 16:00:00,000;2005-07-11, 16:59:59,999;334.0
2005-07-11, 17:00:00,000;2005-07-11, 17:59:59,999;338.0
2005-07-11, 18:00:00,000;2005-07-11, 18:59:59,999;356.0
2005-07-11, 19:00:00,000;2005-07-11, 19:59:59,999;248.0
2005-07-11, 20:00:00,000;2005-07-11, 20:59:59,999;207.0
2005-07-11, 21:00:00,000;2005-07-11, 21:59:59,999;167.0
2005-07-11, 22:00:00,000;2005-07-11, 22:59:59,999;123.0
2005-07-11, 23:00:00,000;2005-07-11, 23:59:59,999;88.0
2005-07-12, 00:00:00,000;2005-07-12, 00:59:59,999;54.0
2005-07-12, 01:00:00,000;2005-07-12, 01:59:59,999;43.0
2005-07-12, 02:00:00,000;2005-07-12, 02:59:59,999;NaN
2005-07-12, 03:00:00,000;2005-07-12, 03:59:59,999;NaN
2005-07-12, 04:00:00,000;2005-07-12, 04:59:59,999;NaN
2005-07-12, 05:00:00,000;2005-07-12, 05:59:59,999;NaN
2005-07-12, 06:00:00,000;2005-07-12, 06:59:59,999;NaN
2005-07-12, 07:00:00,000;2005-07-12, 07:59:59,999;NaN
2005-07-12, 08:00:00,000;2005-07-12, 08:59:59,999;NaN
2005-07-12, 09:00:00,000;2005-07-12, 09:59:59,999;NaN
2005-07-12, 10:00:00,000;2005-07-12, 10:59:59,999;NaN
2005-07-12, 11:00:00,000;2005-07-12, 11:59:59,999;NaN
2005-07-12, 12:00:00,000;2005-07-12, 12:59:59,999;NaN
2005-07-12, 13:00:00,000;2005-07-12, 13:59:59,999;NaN
2005-07-12, 14:00:00,000;2005-07-12, 14:59:59,999;NaN
2005-07-12, 15:00:00,000;2005-07-12, 15:59:59,999;341.0
2005-07-12, 16:00:00,000;2005-07-12, 16:59:59,999;NaN
2005-07-12, 17:00:00,000;2005-07-12, 17:59:59,999;NaN
2005-07-12, 18:00:00,000;2005-07-12, 18:59:59,999;NaN
2005-07-12, 19:00:00,000;2005-07-12, 19:59:59,999;NaN
2005-07-12, 20:00:00,000;2005-07-12, 20:59:59,999;NaN
2005-07-12, 21:00:00,000;2005-07-12, 21:59:59,999;NaN
2005-07-12, 22:00:00,000;2005-07-12, 22:59:59,999;NaN
2005-07-12, 23:00:00,000;2005-07-12, 23:59:59,999;NaN
2005-07-13, 00:00:00,000;2005-07-13, 00:59:59,999;NaN
2005-07-13, 01:00:00,000;2005-07-13, 01:59:59,999;NaN
2005-07-13, 02:00:00,000;2005-07-13, 02:59:59,999;NaN
2005-07-13, 03:00:00,000;2005-07-13, 03:59:59,999;NaN
2005-07-13, 04:00:00,000;2005-07-13, 04:59:59,999;NaN
2005-07-13, 05:00:00,000;2005-07-13, 05:59:59,999;NaN
2005-07-13, 06:00:00,000;2005-07-13, 06:59:59,999;NaN
2005-07-13, 07:00:00,000;2005-07-13, 07:59:59,999;436.0
2005-07-13, 08:00:00,000;2005-07-13, 08:59:59,999;468.0
2005-07-13, 09:00:00,000;2005-07-13, 09:59:59,999;394.0
2005-07-13, 10:00:00,000;2005-07-13, 10:59:59,999;312.0
2005-07-13, 11:00:00,000;2005-07-13, 11:59:59,999;317.0
2005-07-13, 12:00:00,000;2005-07-13, 12:59:59,999;324.0
2005-07-13, 13:00:00,000;2005-07-13, 13:59:59,999;299.0
2005-07-13, 14:00:00,000;2005-07-13, 14:59:59,999;332.0
2005-07-13, 15:00:00,000;2005-07-13, 15:59:59,999;384.0
2005-07-13, 16:00:00,000;2005-07-13, 16:59:59,999;398.0
2005-07-13, 17:00:00,000;2005-07-13, 17:59:59,999;398.0
2005-07-13, 18:00:00,000;2005-07-13, 18:59:59,999;295.0
2005-07-13, 19:00:00,000;2005-07-13, 19:59:59,999;293.0
2005-07-13, 20:00:00,000;2005-07-13, 20:59:59,999;223.0
2005-07-13, 21:00:00,000;2005-07-13, 21:59:59,999;233.0
2005-07-13, 22:00:00,000;2005-07-13, 22:59:59,999;140.0
2005-07-13, 23:00:00,000;2005-07-13, 23:59:59,999;138.0
2005-07-14, 00:00:00,000;2005-07-14, 00:59:59,999;81.0
2005-07-14, 01:00:00,000;2005-07-14, 01:59:59,999;34.0
2005-07-14, 02:00:00,000;2005-07-14, 02:59:59,999;NaN
2005-07-14, 03:00:00,000;2005-07-14, 03:59:59,999;NaN
2005-07-14, 04:00:00,000;2005-07-14, 04:59:59,999;NaN
2005-07-14, 05:00:00,000;2005-07-14, 05:59:59,999;NaN
2005-07-14, 06:00:00,000;2005-07-14, 06:59:59,999;NaN
2005-07-14, 07:00:00,000;2005-07-14, 07:59:59,999;NaN
2005-07-14, 08:00:00,000;2005-07-14, 08:59:59,999;NaN
2005-07-14, 09:00:00,000;2005-07-14, 09:59:59,999;NaN
2005-07-14, 10:00:00,000;2005-07-14, 10:59:59,999;NaN
2005-07-14, 11:00:00,000;2005-07-14, 11:59:59,999;NaN
2005-07-14, 12:00:00,000;2005-07-14, 12:59:59,999;332.0
2005-07-14, 13:00:00,000;2005-07-14, 13:59:59,999;313.0
2005-07-14, 14:00:00,000;2005-07-14, 14:59:59,999;389.0
2005-07-14, 15:00:00,000;2005-07-14, 15:59:59,999;382.0
2005-07-14, 16:00:00,000;2005-07-14, 16:59:59,999;391.0
2005-07-14, 17:00:00,000;2005-07-14, 17:59:59,999;419.0
2005-07-14, 18:00:00,000;2005-07-14, 18:59:59,999;342.0
2005-07-14, 19:00:00,000;2005-07-14, 19:59:59,999;274.0
2005-07-14, 20:00:00,000;2005-07-14, 20:59:59,999;241.0
2005-07-14, 21:00:00,000;2005-07-14, 21:59:59,999;278.0
2005-07-14, 22:00:00,000;2005-07-14, 22:59:59,999;467.0
2005-07-14, 23:00:00,000;2005-07-14, 23:59:59,999;164.0
2005-07-15, 00:00:00,000;2005-07-15, 00:59:59,999;69.0
2005-07-15, 01:00:00,000;2005-07-15, 01:59:59,999;34.0
2005-07-15, 02:00:00,000;2005-07-15, 02:59:59,999;29.0
2005-07-15, 03:00:00,000;2005-07-15, 03:59:59,999;32.0
2005-07-15, 04:00:00,000;2005-07-15, 04:59:59,999;47.0
2005-07-15, 05:00:00,000;2005-07-15, 05:59:59,999;92.0
2005-07-15, 06:00:00,000;2005-07-15, 06:59:59,999;238.0
2005-07-15, 07:00:00,000;2005-07-15, 07:59:59,999;414.0
2005-07-15, 08:00:00,000;2005-07-15, 08:59:59,999;455.0
2005-07-15, 09:00:00,000;2005-07-15, 09:59:59,999;363.0
2005-07-15, 10:00:00,000;2005-07-15, 10:59:59,999;325.0
2005-07-15, 11:00:00,000;2005-07-15, 11:59:59,999;289.0
2005-07-15, 12:00:00,000;2005-07-15, 12:59:59,999;364.0
2005-07-15, 13:00:00,000;2005-07-15, 13:59:59,999;334.0
2005-07-15, 14:00:00,000;2005-07-15, 14:59:59,999;370.0
2005-07-15, 15:00:00,000;2005-07-15, 15:59:59,999;353.0
2005-07-15, 16:00:00,000;2005-07-15, 16:59:59,999;363.0
2005-07-15, 17:00:00,000;2005-07-15, 17:59:59,999;359.0
2005-07-15, 18:00:00,000;2005-07-15, 18:59:59,999;352.0
2005-07-15, 19:00:00,000;2005-07-15, 19:59:59,999;369.0
2005-07-15, 20:00:00,000;2005-07-15, 20:59:59,999;283.0
2005-07-15, 21:00:00,000;2005-07-15, 21:59:59,999;346.0
2005-07-15, 22:00:00,000;2005-07-15, 22:59:59,999;590.0
2005-07-15, 23:00:00,000;2005-07-15, 23:59:59,999;228.0
2005-07-16, 00:00:00,000;2005-07-16, 00:59:59,999;95.0
2005-07-16, 01:00:00,000;2005-07-16, 01:59:59,999;71.0
2005-07-16, 02:00:00,000;2005-07-16, 02:59:59,999;66.0
2005-07-16, 03:00:00,000;2005-07-16, 03:59:59,999;32.0
2005-07-16, 04:00:00,000;2005-07-16, 04:59:59,999;32.0
2005-07-16, 05:00:00,000;2005-07-16, 05:59:59,999;56.0
2005-07-16, 06:00:00,000;2005-07-16, 06:59:59,999;118.0
2005-07-16, 07:00:00,000;2005-07-16, 07:59:59,999;158.0
2005-07-16, 08:00:00,000;2005-07-16, 08:59:59,999;201.0
2005-07-16, 09:00:00,000;2005-07-16, 09:59:59,999;293.0
2005-07-16, 10:00:00,000;2005-07-16, 10:59:59,999;242.0
2005-07-16, 11:00:00,000;2005-07-16, 11:59:59,999;285.0
2005-07-16, 12:00:00,000;2005-07-16, 12:59:59,999;253.0
2005-07-16, 13:00:00,000;2005-07-16, 13:59:59,999;360.0
2005-07-16, 14:00:00,000;2005-07-16, 14:59:59,999;330.0
2005-07-16, 15:00:00,000;2005-07-16, 15:59:59,999;332.0
2005-07-16, 16:00:00,000;2005-07-16, 16:59:59,999;527.0
2005-07-16, 17:00:00,000;2005-07-16, 17:59:59,999;419.0
2005-07-16, 18:00:00,000;2005-07-16, 18:59:59,999;268.0
2005-07-16, 19:00:00,000;2005-07-16, 19:59:59,999;296.0
2005-07-16, 20:00:00,000;2005-07-16, 20:59:59,999;214.0
2005-07-16, 21:00:00,000;2005-07-16, 21:59:59,999;248.0
2005-07-16, 22:00:00,000;2005-07-16, 22:59:59,999;276.0
2005-07-16, 23:00:00,000;2005-07-16, 23:59:59,999;222.0
2005-07-17, 00:00:00,000;2005-07-17, 00:59:59,999;126.0
2005-07-17, 01:00:00,000;2005-07-17, 01:59:59,999;110.0
2005-07-17, 02:00:00,000;2005-07-17, 02:59:59,999;84.0
2005-07-17, 03:00:00,000;2005-07-17, 03:59:59,999;65.0
2005-07-17, 04:00:00,000;2005-07-17, 04:59:59,999;44.0
2005-07-17, 05:00:00,000;2005-07-17, 05:59:59,999;44.0
2005-07-17, 06:00:00,000;2005-07-17, 06:59:59,999;53.0
2005-07-17, 07:00:00,000;2005-07-17, 07:59:59,999;103.0
2005-07-17, 08:00:00,000;2005-07-17, 08:59:59,999;156.0
2005-07-17, 09:00:00,000;2005-07-17, 09:59:59,999;198.0
2005-07-17, 10:00:00,000;2005-07-17, 10:59:59,999;214.0
2005-07-17, 11:00:00,000;2005-07-17, 11:59:59,999;307.0
2005-07-17, 12:00:00,000;2005-07-17, 12:59:59,999;293.0
2005-07-17, 13:00:00,000;2005-07-17, 13:59:59,999;355.0
2005-07-17, 14:00:00,000;2005-07-17, 14:59:59,999;359.0
2005-07-17, 15:00:00,000;2005-07-17, 15:59:59,999;342.0
2005-07-17, 16:00:00,000;2005-07-17, 16:59:59,999;494.0
2005-07-17, 17:00:00,000;2005-07-17, 17:59:59,999;241.0
2005-07-17, 18:00:00,000;2005-07-17, 18:59:59,999;340.0
2005-07-17, 19:00:00,000;2005-07-17, 19:59:59,999;310.0
2005-07-17, 20:00:00,000;2005-07-17, 20:59:59,999;232.0
2005-07-17, 21:00:00,000;2005-07-17, 21:59:59,999;197.0
2005-07-17, 22:00:00,000;2005-07-17, 22:59:59,999;137.0
2005-07-17, 23:00:00,000;2005-07-17, 23:59:59,999;88.0
2005-07-18, 00:00:00,000;2005-07-18, 00:59:59,999;67.0
2005-07-18, 01:00:00,000;2005-07-18, 01:59:59,999;30.0
2005-07-18, 02:00:00,000;2005-07-18, 02:59:59,999;29.0
2005-07-18, 03:00:00,000;2005-07-18, 03:59:59,999;18.0
2005-07-18, 04:00:00,000;2005-07-18, 04:59:59,999;54.0
2005-07-18, 05:00:00,000;2005-07-18, 05:59:59,999;89.0
2005-07-18, 06:00:00,000;2005-07-18, 06:59:59,999;200.0
2005-07-18, 07:00:00,000;2005-07-18, 07:59:59,999;392.0
2005-07-18, 08:00:00,000;2005-07-18, 08:59:59,999;396.0
2005-07-18, 09:00:00,000;2005-07-18, 09:59:59,999;364.0
2005-07-18, 10:00:00,000;2005-07-18, 10:59:59,999;359.0
2005-07-18, 11:00:00,000;2005-07-18, 11:59:59,999;316.0
2005-07-18, 12:00:00,000;2005-07-18, 12:59:59,999;302.0
2005-07-18, 13:00:00,000;2005-07-18, 13:59:59,999;361.0
2005-07-18, 14:00:00,000;2005-07-18, 14:59:59,999;387.0
2005-07-18, 15:00:00,000;2005-07-18, 15:59:59,999;412.0
2005-07-18, 16:00:00,000;2005-07-18, 16:59:59,999;438.0
2005-07-18, 17:00:00,000;2005-07-18, 17:59:59,999;420.0
2005-07-18, 18:00:00,000;2005-07-18, 18:59:59,999;390.0
2005-07-18, 19:00:00,000;2005-07-18, 19:59:59,999;348.0
2005-07-18, 20:00:00,000;2005-07-18, 20:59:59,999;218.0
2005-07-18, 21:00:00,000;2005-07-18, 21:59:59,999;175.0
2005-07-18, 22:00:00,000;2005-07-18, 22:59:59,999;137.0
2005-07-18, 23:00:00,000;2005-07-18, 23:59:59,999;92.0
2005-07-19, 00:00:00,000;2005-07-19, 00:59:59,999;69.0
2005-07-19, 01:00:00,000;2005-07-19, 01:59:59,999;43.0
2005-07-19, 02:00:00,000;2005-07-19, 02:59:59,999;28.0
2005-07-19, 03:00:00,000;2005-07-19, 03:59:59,999;18.0
2005-07-19, 04:00:00,000;2005-07-19, 04:59:59,999;31.0
2005-07-19, 05:00:00,000;2005-07-19, 05:59:59,999;115.0
2005-07-19, 06:00:00,000;2005-07-19, 06:59:59,999;284.0
2005-07-19, 07:00:00,000;2005-07-19, 07:59:59,999;465.0
2005-07-19, 08:00:00,000;2005-07-19, 08:59:59,999;477.0
2005-07-19, 09:00:00,000;2005-07-19, 09:59:59,999;465.0
2005-07-19, 10:00:00,000;2005-07-19, 10:59:59,999;356.0
2005-07-19, 11:00:00,000;2005-07-19, 11:59:59,999;304.0
2005-07-19, 12:00:00,000;2005-07-19, 12:59:59,999;310.0
2005-07-19, 13:00:00,000;2005-07-19, 13:59:59,999;351.0
2005-07-19, 14:00:00,000;2005-07-19, 14:59:59,999;376.0
2005-07-19, 15:00:00,000;2005-07-19, 15:59:59,999;456.0
2005-07-19, 16:00:00,000;2005-07-19, 16:59:59,999;458.0
2005-07-19, 17:00:00,000;2005-07-19, 17:59:59,999;459.0
2005-07-19, 18:00:00,000;2005-07-19, 18:59:59,999;418.0
2005-07-19, 19:00:00,000;2005-07-19, 19:59:59,999;341.0
2005-07-19, 20:00:00,000;2005-07-19, 20:59:59,999;256.0
2005-07-19, 21:00:00,000;2005-07-19, 21:59:59,999;241.0
2005-07-19, 22:00:00,000;2005-07-19, 22:59:59,999;154.0
2005-07-19, 23:00:00,000;2005-07-19, 23:59:59,999;101.0
